"Main","Middle","Sub","Address","Central","Unfiltered","Description","DatapointType","Security"
 , ,"Zentral","0/0/1","true","","","DPST-1-1","Auto"
 , ,"Datum und Zeit","0/1/0","","","","DPT-19","Auto"
 , ,"LichtA1 - Schalten EinAus","1/0/0","","","","DPST-1-1","Auto"
 , ,"LichtA1 - Status Ein Aus","1/0/1","","","","DPST-1-1","Auto"
 , ,"LichtA2 - Schalten EinAus","1/0/2","","","","DPST-1-1","Auto"
 , ,"LichtA2 - Status Ein Aus","1/0/3","","","","DPST-1-1","Auto"
 , ,"LichtA3 - Schalten EinAus","1/0/4","","","","DPST-1-1","Auto"
 , ,"LichtA3 - Status Ein Aus","1/0/5","","","","DPST-1-1","Auto"
 , ,"LichtA3 - Rel Dimm","1/0/6","","","","DPST-3-7","Auto"
 , ,"LichtA3 - Abs Dimm","1/0/7","","","","DPST-5-1","Auto"
 , ,"LichtA3 - Status Dimmwert","1/0/8","","","","DPST-5-1","Auto"
 , ,"LichtB1 - Schalten EinAus","1/1/0","","","","DPST-1-1","Auto"
 , ,"LichtB1 - Status Ein Aus","1/1/1","","","","DPST-1-1","Auto"
 , ,"LichtB2 - Schalten EinAus","1/1/2","","","","DPST-1-1","Auto"
 , ,"LichtB2 - Status Ein Aus","1/1/3","","","","DPST-1-1","Auto"
 , ,"LichtB2 - Rel Dimm","1/1/4","","","","DPST-3-7","Auto"
 , ,"LichtB2 - Abs Dimm","1/1/5","","","","DPST-5-1","Auto"
 , ,"LichtB2 - Status Dimmwert","1/1/6","","","","DPST-5-1","Auto"
 , ,"LichtTreppe - Schalten EinAus","1/2/0","","","","DPST-1-1","Auto"
 , ,"LichtTreppe - Status EinAus","1/2/1","","","","DPST-1-1","Auto"
 , ,"J1 - Auf/Ab","2/0/0","","","","DPST-1-8","Auto"
 , ,"J1 - Stop/Lamelle","2/0/1","","","","DPST-1-9","Auto"
 , ,"J1 - Status Position Absolut","2/0/2","","","","DPST-5-1","Auto"
 , ,"J2 - Auf/Ab","2/1/0","","","","DPST-1-8","Auto"
 , ,"J2 - Stop/Lamelle","2/1/1","","","","DPST-1-9","Auto"
 , ,"J2 - Status Position Absolut","2/1/2","","","","DPST-5-1","Auto"
 , ,"RaumA - Temperatur Ist","3/0/0","","","","DPST-9-1","Auto"
 , ,"RaumA - Sollwertverschiebung Heizen","3/0/1","","","","DPST-1-7","Auto"
 , ,"RaumA - Sollwertverschiebung K�hlen","3/0/2","","","","DPST-1-7","Auto"
 , ,"RaumA - Sollwert Status Heizen","3/0/3","","","","DPST-9-1","Auto"
 , ,"RaumA - Sollwert Status K�hlen","3/0/4","","","","DPST-9-1","Auto"
 , ,"RaumA - Stellgr��e Heizen","3/0/5","","","","DPST-5-1","Auto"
 , ,"RaumA - Stellgr��e K�hlen","3/0/6","","","","DPST-5-1","Auto"
 , ,"RaumB - Temperatur Ist","3/1/0","","","","DPST-9-1","Auto",max="20.0",min="-10.0"
 , ,"RaumB - Sollwertverschiebung","3/1/1","","","","","Auto"
 , ,"RaumB - Sollwert Status","3/1/2","","","","DPST-9-1","Auto"
 , ,"RaumB - Stellgr��e Heizen","3/1/3","","","","DPST-5-1","Auto"
 , ,"RaumB - Stellgr��e K�hlen","3/1/4","","","","DPST-5-1","Auto"
 , ,"Stoerung_HLK","3/2/0","","","","","Auto"
